SEASON	SITE	MANGROVES	COT (%)	NT(%)	δ15N	δ13C	C/N	TP(µg/g)	IP(µg/g)	OP(µg/g)	OM(%)
S	B	M1	39.30	1.08	1.28	-29.79	42.34	1264.7	67.6	1197.1	66.8
S	B	M1	44.14	1.12	0.56	-30.70	45.81	986.5	89.6	896.9	68.2
S	B	M1	43.84	1.06	0.38	-31.15	48.12	1102.9	109.5	993.4	73.4
S	B	M1	41.40	1.14	0.09	-29.79	42.45	1392.1	93.3	1298.8	67.7
S	B	M1	45.04	1.11	-0.24	-30.22	47.22	1143.5	30.0	1113.5	73.1
S	B	M1	41.76	1.08	1.42	-29.88	45.14	1439.7	48.9	1390.7	73.0
S	B	M1	24.63	1.05	1.46	-30.58	27.30	1064.1	92.0	972.1	69.7
S	B	M1	30.18	1.17	-0.66	-30.52	30.15	1266.3	66.6	1199.7	73.2
S	B	M1	40.86	1.12	-1.28	-30.32	42.69	1180.5	22.1	1158.4	73.2
S	B	M1	41.79	1.17	0.25	-30.30	41.80	1218.6	26.2	1192.3	78.2
S	B	M1	40.47	1.13	0.17	-30.14	41.93	1040.2	23.9	1016.2	73.0
S	B	M1	41.42	1.11	1.00	-30.17	43.47	1304.7	15.6	1289.1	75.9
S	F	M1	16.97	0.98	1.84	-26.94	20.18	971.6	143.1	828.5	38.0
S	F	M1	10.96	0.65	2.61	-25.82	19.67	697.9	268.4	429.5	28.9
S	F	M1	16.19	0.92	1.85	-31.34	20.61	840.1	204.6	635.6	35.4
S	F	M1	11.14	0.77	2.41	-25.28	16.77	839.1	297.4	541.7	29.9
S	F	M1	9.88	0.67	2.59	-25.83	17.14	740.0	202.0	538.0	28.6
S	F	M1	18.36	0.97	1.47	-25.85	22.14	863.2	275.0	588.3	27.5
S	F	M1	16.24	0.92	1.29	-26.81	20.70	827.6	228.0	599.6	28.5
S	F	M1	15.52	0.92	1.50	-25.58	19.75	929.8	347.3	582.4	37.9
S	F	M1	11.87	0.79	1.92	-25.78	17.60	905.5	460.6	444.8	35.1
S	F	M1	11.23	0.79	2.01	-25.18	16.57	958.3	382.7	575.6	34.8
S	F	M1	11.14	0.74	1.97	-24.87	17.60	881.7	464.3	417.3	33.5
S	F	M1	9.15	0.67	2.33	-24.30	16.02	785.1	606.2	178.9	29.3
W	B	M1	38.58	1.04	1.29	-29.02	43.27	908.3	45.9	862.4	69.9
W	B	M1	39.77	1.08	0.74	-29.70	43.14	1083.4	133.5	950.0	63.5
W	B	M1	37.06	1.12	-0.49	-29.07	38.47	1232.1	139.8	1092.3	64.5
W	B	M1	34.73	1.11	-1.31	-29.15	36.66	1059.4	95.8	963.6	63.2
W	B	M1	40.72	1.06	-1.12	-29.62	44.70	948.2	73.0	875.2	60.5
W	B	M1	42.36	1.06	-0.14	-29.31	46.68	943.4	58.8	884.7	62.3
W	B	M1						1105.7	364.3	741.5	30.2
W	B	M1						1652.9	80.6	1572.3	62.1
W	B	M1						1792.9	71.0	1721.9	66.3
W	B	M1						1827.6	109.8	1717.8	64.0
W	B	M1						1864.8	128.3	1736.5	64.8
W	B	M1						1894.3	103.7	1790.6	68.1
W	B	M1						1700.2	90.6	1609.6	67.0
W	F	M1	8.84	0.57	2.63	-23.80	17.97	915.2	319.5	595.7	27.7
W	F	M1	10.33	0.61	2.45	-23.97	19.87	924.5	288.4	636.1	30.3
W	F	M1	12.76	0.71	3.09	-25.36	21.01	1167.6	212.6	955.0	34.5
W	F	M1	13.12	0.76	3.34	-25.45	20.10	1251.3	235.3	1016.0	34.3
W	F	M1	10.01	0.74	3.44	-24.08	15.89	1102.2	267.4	834.8	35.4
W	F	M1	13.09	0.57	2.52	-24.89	26.79	1135.4	365.4	770.0	33.8
W	F	M1	12.76	0.70	6.55	-25.49	21.23	1160.1	438.3	721.8	34.7
W	F	M1	14.20	0.70	0.22	-24.94	23.67	907.4	89.0	818.4	62.1
W	F	M1	14.41	0.77	1.31	-24.84	21.75	946.2	536.4	409.8	33.3
W	F	M1	11.01	0.83	3.17	-24.14	15.52	977.4	429.2	548.2	32.8
W	F	M1						860.1	368.5	491.6	32.6
W	F	M1						974.6	588.5	386.1	34.6
W	F	M1						987.6	506.3	481.3	31.6
W	F	M1						1117.9	452.3	665.7	31.8
W	F	M1						1179.7	440.1	739.7	33.5
W	F	M1						1166.4	412.6	753.8	34.8
W	F	M1						996.8	523.0	473.7	34.5
S	B	M2	13.45	0.92	3.56	-28.42	17.15	1302.4	687.3	615.0	34.4
S	B	M2	12.89	0.88	3.66	-28.07	17.15	1375.0	804.5	570.5	33.1
S	B	M2	13.90	0.89	3.39	-28.33	18.27	1323.3	799.6	523.7	34.0
S	B	M2	14.12	0.89	3.38	-28.41	18.52	1395.2	765.3	629.8	36.0
S	B	M2	14.76	0.86	3.62	-28.19	19.98	1267.3	700.9	566.4	34.0
S	B	M2	14.90	0.89	3.36	-28.68	19.50	1483.4	699.0	784.5	32.7
S	B	M2	15.50	0.96	3.36	-28.46	18.89	1378.3	783.0	595.3	35.1
S	B	M2	14.72	0.89	3.43	-27.89	19.30	1372.5	797.1	575.4	41.3
S	B	M2	16.04	0.97	3.41	-27.99	19.34	1519.5	758.2	761.3	32.9
S	B	M2	15.86	0.98	3.37	-28.79	18.92	1544.3	674.3	870.0	34.4
S	B	M2	14.42	0.93	3.56	-28.22	18.14	1621.5	709.4	912.1	34.6
S	B	M2	16.75	0.99	3.09	-29.00	19.71	1539.7	717.2	822.5	33.7
S	B	M2	15.22	0.94	3.08	-28.62	18.81	1479.9	701.4	778.5	34.1
S	B	M2	16.83	1.00	3.21	-28.31	19.56	1501.2	682.5	818.7	34.9
S	B	M2	15.46	1.04	3.08	-28.40	17.41	1415.2	579.0	836.2	37.3
S	B	M2	16.90	1.02	3.07	-28.65	19.39	1396.7	751.0	645.7	37.0
S	B	M2						1340.6	684.6	656.0	36.0
S	F	M2	6.40	0.46	5.79	-28.10	16.15	1700.2	90.6	1609.6	67.0
S	F	M2	5.69	0.42	6.36	-27.83	15.86	925.5	762.5	163.0	16.4
S	F	M2	6.51	0.42	5.92	-27.89	17.88	918.4	797.8	120.5	17.0
S	F	M2	5.88	0.45	6.49	-27.75	15.39	1009.1	836.8	172.3	17.4
S	F	M2	7.78	0.53	6.88	-28.30	17.24	1134.4	833.5	300.9	21.2
S	F	M2	4.88	0.44	6.28	-27.78	13.04	874.1	765.6	108.5	18.4
S	F	M2	9.07	0.56	6.33	-28.82	18.76	1027.3	772.3	254.9	24.5
S	F	M2	7.52	0.42	6.33	-28.61	21.12	1006.3	783.6	222.7	16.8
