SEASON	SITE	MANGROVES	COT (%)	NT(%)	δ15N	δ13C	C/N	TP(µg/g)	IP(µg/g)	OP(µg/g)	OM(%)
W	U	M1	385.8	10.40	-0.49	-29.02	43.27	908.3	45.93	1092.32	699.2
W	U	M1	397.7	10.80	-1.31	-29.7	43.14	1083.4	133.48	963.60	635.1
W	U	M1	370.6	11.20	-1.12	-29.07	38.47	1232.1	139.83	875.17	645.4
W	U	M1	347.3	11.10	-0.14	-29.15	36.66	1059.4	95.83	884.70	632.2
W	U	M1	407.2	10.60	NA	-29.62	44.7	948.2	73.01	741.47	605.1
W	U	M1	423.6	10.60	NA	-29.31	46.68	943.4	58.75	1572.27	623.2
W	U	M1	385.8	0.00	NA	NA	43.27	1105.7	364.26	1721.90	621.2
W	U	M1	397.7	10.40	NA	NA	43.14	1652.9	80.61	1717.80	662.9
W	U	M1	370.6	10.80	NA	NA	38.47	1792.9	71.03	1736.48	640.0
W	U	M1	347.3	11.20	NA	NA	36.66	1827.6	109.79	1790.57	648.4
W	U	M1	407.2	11.10	NA	NA	44.7	1864.8	128.33	1609.58	681.1
W	U	M1	423.6	10.60	NA	NA	46.68	1894.3	103.69	1336.90	670.3
W	U	M1	385.8	10.60	NA	NA	43.27	1700.2	90.65	NA	648.4
W	U	M1	397.7	10.40	NA	NA	43.14	NA	NA	NA	681.1
W	U	M1	370.6	0.00	NA	NA	38.47	NA	NA	NA	670.3
W	U	M1	347.3	0.00	NA	NA	36.66	NA	NA	NA	NA
W	U	M1	407.2	0.00	NA	NA	44.7	NA	NA	NA	NA
W	U	M1	423.6	6.20	NA	NA	46.68	NA	NA	NA	NA
S	U	M1	393	10.80	0.56	-29.79	42.34	1264.7	67.60	993.43	668.1
S	U	M1	441.4	11.20	0.38	-30.7	45.81	986.5	89.61	1298.80	681.9
S	U	M1	438.4	10.60	0.09	-31.15	48.12	1102.9	109.50	1113.51	734.4
S	U	M1	414	11.40	-0.24	-29.79	42.45	1392.1	93.27	1390.74	676.8
S	U	M1	450.4	11.10	1.42	-30.22	47.22	1143.5	29.98	1011.11	731.3
S	U	M1	417.6	10.80	1.55	-29.88	45.14	1439.7	48.95	972.10	730.4
S	U	M1	246.3	11.00	1.46	-30.58	27.3	1023.5	12.36	1199.69	732.0
S	U	M1	301.8	10.50	-0.66	-30.52	30.15	1064.1	91.99	1158.42	697.0
S	U	M1	408.6	11.70	-1.28	-30.32	42.69	1266.3	66.57	1192.31	732.3
S	U	M1	417.9	11.20	0.25	-30.3	41.8	1180.5	22.12	1016.23	732.4
S	U	M1	404.7	11.70	0.17	-30.14	41.93	1218.6	26.25	1289.07	782.5
S	U	M1	414.2	11.30	1	-30.17	43.47	1040.2	23.93	1164.20	730.1
S	U	M1	NA	11.10	NA	NA	NA	1304.7	15.61	NA	759.0
S	U	M1	NA	0.00	NA	NA	NA	NA	NA	NA	NA
S	U	M1	NA	0.00	NA	NA	NA	NA	NA	NA	NA
S	U	M1	NA	0.00	NA	NA	NA	NA	NA	NA	NA
W	L	M1	88.4	5.70	3.09	-23.8	17.97	915.2	319.51	955.00	277.3
W	L	M1	103.3	6.10	3.34	-23.97	19.87	924.5	288.38	1016.03	302.8
W	L	M1	127.6	7.10	3.44	-25.36	21.01	1167.6	212.57	834.76	344.8
W	L	M1	131.2	7.60	2.52	-25.45	20.1	1251.3	235.28	770.02	343.4
W	L	M1	100.1	7.40	6.55	-24.08	15.89	1102.2	267.41	721.81	354.0
W	L	M1	130.9	5.70	2.67	-24.89	26.79	1135.4	365.41	818.44	337.6
W	L	M1	127.6	7.00	1.9	-25.49	21.23	1160.1	438.32	409.85	347.2
W	L	M1	139	7.70	1.53	-24.55	21.05	907.4	89.01	548.20	620.6
W	L	M1	140.1	7.30	2.45	-24.75	22.34	946.2	536.39	491.65	333.4
W	L	M1	135	7.60	0.61	-25.02	20.62	977.4	429.20	386.13	327.8
W	L	M1	150.4	8.70	0.19	-25.01	20.29	860.1	368.46	481.34	326.3
W	L	M1	144	8.00	0.07	-24.81	21.09	974.6	588.47	665.66	346.4
W	L	M1	117.9	7.60	0.22	-24.53	18.11	987.6	506.26	739.67	315.9
W	L	M1	110	6.90	1.31	-24.03	18.56	1117.9	452.29	753.80	317.9
W	L	M1	142	7.00	3.17	-24.94	23.67	1179.7	440.07	473.72	334.7
W	L	M1	144.1	7.70	NA	-24.84	21.75	1166.4	412.57	NA	347.7
W	L	M1	110.1	8.30	NA	-24.14	15.52	996.8	523.03	NA	345.5
S	L	M1	169.7	9.80	1.85	-26.94	20.18	971.6	143.07	635.56	379.8
S	L	M1	109.6	6.50	2.41	-25.82	19.67	697.9	268.37	541.66	288.9
S	L	M1	161.9	9.20	2.59	-31.34	20.61	840.1	204.55	538.00	353.7
