SEASON	SITE	MANGROVES	Sand(%)	Silt(%)	Clay(%)
W	U	M1	0.1	71.5	15.4
W	U	M1	0.0	86.1	7.9
W	U	M1	0.4	88.0	6.0
W	U	M1	0.4	86.3	6.8
W	U	M1	0.0	84.1	8.8
W	U	M1	0.0	85.6	8.1
W	U	M1	0.4	87.4	6.1
W	U	M1	0.0	86.1	6.3
W	U	M1	0.1	86.6	6.6
W	U	M1	0.0	85.9	7.0
W	U	M1	0.0	75.0	12.0
W	U	M1	0.3	88.1	5.6
W	U	M1	0.3	89.1	5.2
W	U	M1	0.3	88.6	5.5
S	U	M1	46.5	46.7	3.7
S	U	M1	56.3	38.2	3.1
S	U	M1	53.7	40.3	3.4
S	U	M1	52.5	41.7	3.1
S	U	M1	53.1	40.3	3.8
S	U	M1	51.7	41.8	3.3
S	U	M1	0.0	67.7	16.8
S	U	M1	0.0	70.9	15.4
S	U	M1	0.0	69.9	16.4
S	U	M1	0.0	68.4	17.3
S	U	M1	0.0	68.4	17.0
S	U	M1	0.0	68.4	17.2
S	U	M1	0.0	70.1	16.0
W	L	M1	0.0	77.1	10.9
W	L	M1	0.0	77.0	11.1
W	L	M1	0.0	75.4	11.9
W	L	M1	0.0	78.7	10.3
W	L	M1	0.0	74.4	12.8
W	L	M1	0.0	75.8	11.8
W	L	M1	0.0	75.4	11.6
W	L	M1	0.0	77.1	11.4
W	L	M1	0.0	75.1	12.3
W	L	M1	0.0	74.8	12.5
W	L	M1	0.0	74.8	12.6
W	L	M1	0.0	75.7	12.2
W	L	M1	0.0	75.1	12.6
W	L	M1	0.0	76.9	11.6
W	L	M1	0.0	75.3	12.1
W	L	M1	0.0	75.1	11.9
W	L	M1	0.0	74.2	12.6
S	L	M1	0.2	79.1	10.2
S	L	M1	0.1	78.0	10.5
S	L	M1	0.0	80.7	9.2
S	L	M1	0.1	77.7	10.5
S	L	M1	0.0	77.4	11.4
S	L	M1	0.1	77.0	11.4
S	L	M1	0.2	76.8	11.4
S	L	M1	0.0	79.9	10.0
S	L	M1	0.3	76.7	11.4
S	L	M1	0.0	78.5	10.7
S	L	M1	0.0	81.9	9.1
S	L	M1	0.1	79.9	10.1
S	L	M1	0.0	79.7	11.3
S	L	M1	0.0	81.0	10.6
W	U	M2	0.5	90.3	4.6
W	U	M2	0.0	89.4	4.9
W	U	M2	0.0	87.3	7.3
W	U	M2	0.0	86.5	7.6
W	U	M2	1.0	88.7	5.5
W	U	M2	1.1	87.5	6.1
W	U	M2	1.2	87.8	5.8
W	U	M2	0.0	89.5	6.1
W	U	M2	0.0	88.3	7.0
W	U	M2	0.0	86.9	7.5
W	U	M2	0.0	86.5	7.6
W	U	M2	0.0	86.5	7.6
W	U	M2	0.4	90.7	4.6
W	U	M2	0.0	89.3	6.1
W	U	M2	0.4	83.6	10.1
W	U	M2	0.1	83.1	10.9
W	U	M2	0.2	85.1	9.3
S	U	M2	0.3	86.8	6.9
S	U	M2	0.0	85.6	7.4
S	U	M2	0.0	85.6	7.1
S	U	M2	0.0	86.7	7.1
S	U	M2	0.4	86.6	7.0
S	U	M2	0.4	84.6	8.0
S	U	M2	0.5	87.2	6.6
S	U	M2	0.2	88.1	5.8
S	U	M2	0.0	86.3	6.7
S	U	M2	0.0	83.1	8.4
S	U	M2	0.0	82.3	8.8
S	U	M2	0.0	81.0	10.1
S	U	M2	0.0	84.7	7.8
S	U	M2	0.0	86.4	6.6
S	U	M2	0.2	87.7	6.2
S	U	M2	0.3	87.4	6.4
S	U	M2	0.3	88.4	5.6
W	L	M2	39.8	55.9	2.4
W	L	M2	36.2	58.0	3.4
W	L	M2	31.7	61.7	3.9
W	L	M2	37.1	57.6	3.0
W	L	M2	33.8	60.6	3.2
W	L	M2	33.0	60.8	3.6
W	L	M2	36.4	57.7	3.5
W	L	M2	4.3	87.9	4.6
W	L	M2	4.9	87.5	4.8
W	L	M2	3.2	88.8	4.8
W	L	M2	3.3	88.9	4.5
W	L	M2	0.9	90.9	4.9
W	L	M2	5.0	87.4	4.5
W	L	M2	4.2	88.0	4.7
W	L	M2	5.2	87.7	4.2
W	L	M2	4.4	87.7	4.7
W	L	M2	42.7	53.4	2.3
W	L	M2	4.5	87.7	4.6
S	L	M2	0.0	39.9	12.7
S	L	M2	0.0	83.4	8.4
S	L	M2	0.6	92.4	7.0
S	L	M2	0.6	88.2	6.6
S	L	M2	26.2	66.6	3.9
S	L	M2	24.2	67.9	4.5
S	L	M2	25.9	66.4	4.2
S	L	M2	0.3	88.2	6.3
S	L	M2	0.2	83.7	9.2
S	L	M2	0.2	87.2	7.1
S	L	M2	33.9	58.4	4.4
S	L	M2	25.7	66.0	4.8
S	L	M2	36.5	57.6	3.3
S	L	M2	33.9	58.7	4.2
S	L	M2	36.7	57.2	3.4
S	L	M2	32.1	60.2	4.5
W	U	M3	0.7	82.3	10.0
W	U	M3	0.1	83.5	9.7
W	U	M3	0.2	86.1	8.1
W	U	M3	0.9	78.3	12.7
W	U	M3	0.6	78.8	12.0
W	U	M3	0.0	77.3	14.2
W	U	M3	0.0	74.7	15.7
W	U	M3	0.5	74.1	15.3
W	U	M3	0.7	77.0	12.9
W	U	M3	0.0	80.9	11.3
W	U	M3	0.0	75.9	14.5
W	U	M3	0.0	67.3	19.2
W	U	M3	0.8	70.9	16.7
W	U	M3	0.6	75.7	13.5
W	U	M3	0.4	70.6	16.4
W	U	M3	0.0	54.1	26.9
W	U	M3	0.0	73.5	16.1
S	U	M3	0.6	75.8	14.2
S	U	M3	0.0	68.9	19.3
S	U	M3	0.2	72.2	16.7
S	U	M3	0.6	72.5	16.5
S	U	M3	0.0	68.1	20.0
S	U	M3	0.0	66.4	21.3
S	U	M3	0.0	0.0	
S	U	M3	0.1	72.7	16.5
S	U	M3	0.0	58.0	25.1
S	U	M3	0.1	72.3	16.2
S	U	M3	0.2	67.6	20.0
S	U	M3	0.1	71.1	17.3
S	U	M3	0.9	77.8	12.8
S	U	M3	0.9	86.3	7.3
S	U	M3	0.0	71.5	17.2
S	U	M3	0.0	61.3	23.2
S	U	M3	0.0	61.3	23.2
W	L	M3	0.0	81.3	11.4
W	L	M3	0.2	82.5	10.6
W	L	M3	0.0	83.0	10.0
W	L	M3	0.0	82.3	10.5
W	L	M3	0.1	82.6	10.3
W	L	M3	0.1	82.1	10.5
W	L	M3	0.0	84.8	8.7
W	L	M3	0.0	71.4	17.8
W	L	M3	0.0	79.5	12.3
W	L	M3	0.1	74.3	15.1
W	L	M3	0.0	80.8	11.5
W	L	M3	0.0	82.3	10.5
W	L	M3	0.0	83.6	9.5
W	L	M3	0.0	80.6	11.5
W	L	M3	0.0	80.7	11.7
W	L	M3	0.1	75.7	13.5
W	L	M3	0.0	78.7	12.6
S	L	M3	1.0	87.6	6.4
S	L	M3	2.3	87.0	6.4
S	L	M3	2.7	81.0	9.6
S	L	M3	3.2	86.2	6.1
S	L	M3	1.7	86.3	7.2
S	L	M3	5.4	83.7	6.6
S	L	M3	0.3	80.7	11.5
S	L	M3	0.6	85.5	8.1
S	L	M3	2.4	86.8	6.2
S	L	M3	0.0	80.2	11.9
S	L	M3	3.7	85.5	6.4
S	L	M3	0.3	85.2	8.3
S	L	M3	0.4	83.4	9.6
S	L	M3	0.4	81.3	11.3
S	L	M3	0.4	76.6	14.3
S	L	M3	0.8	85.2	8.4
