Distancia_a,altura_a,tempo
54.76,7303,1
54.76,7123,1
62.86,8053,1
62.86,7883,1
66.61,7863,1
66.61,7723,1
68.41,7413,1
71.24,7463,1
74.88,6833,1
77.51,6763,1
82.88,6083,1
86.58,6473,1
89.64,5703,1
93.03,5253,1
93.03,5053,1
96.86,4273,1
101.33,4163,1
105.04,4353,1
110.46,3663,1
124.77,3213,1
134.16,2593,1
144.07,2103,1
157.21,1943,1
165.39,1133,1
183.01,-0.656999999999999,1
54.76,7303,2
54.76,7133,2
62.86,8053,2
62.86,7883,2
66.61,7863,2
66.61,7753,2
68.41,7453,2
71.24,7443,2
74.88,6843,2
77.51,6663,2
82.88,6123,2
86.58,6593,2
89.64,5693,2
93.03,5263,2
93.03,5103,2
96.86,4323,2
101.33,4153,2
105.04,4373,2
110.46,3483,2
124.77,3343,2
134.16,3163,2
144.07,2983,2
157.21,1483,2
165.39,-197,2
183.01,0,2
54.76,7303,3
54.76,7144,3
62.86,7316,3
62.86,7883,3
66.61,7876,3
66.61,7702,3
68.41,7367,3
71.24,7496,3
74.88,6889,3
77.51,6618,3
82.88,6115,3
86.58,6494,3
89.64,5.26,3
93.03,5119,3
93.03,4513,3
96.86,4.15,3
101.33,4366,3
105.04,3552,3
110.46,3.23,3
124.77,2352,3
134.16,1381,3
144.07,0.41,3
157.21,0,3
165.39,0,3
183.01,0,3
