date,recuperados
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,23
2020-04-02,23
2020-04-03,23
2020-04-04,23
2020-04-05,36
2020-04-06,37
2020-04-07,37
2020-04-08,45
2020-04-09,45
2020-04-10,47
2020-04-11,51
2020-04-12,52
2020-04-13,58
2020-04-14,71
2020-04-15,72
2020-04-16,87
2020-04-17,91
2020-04-18,91
2020-04-19,93
2020-04-20,93
2020-04-21,96
2020-04-22,99
2020-04-23,99
2020-04-24,101
2020-04-25,102
2020-04-26,105
2020-04-27,105
2020-04-28,120
2020-04-29,130
2020-04-30,159
2020-05-01,159
2020-05-02,167
2020-05-03,168
2020-05-04,173
2020-05-05,178
2020-05-06,180
2020-05-07,185
2020-05-08,199
2020-05-09,201
2020-05-10,292
2020-05-11,306
2020-05-12,325
2020-05-13,388
2020-05-14,430
2020-05-15,445
2020-05-16,452
2020-05-17,491
2020-05-18,493
2020-05-19,497
2020-05-20,506
2020-05-21,535
2020-05-22,762
2020-05-23,806
2020-05-23,817
2020-05-25,919
2020-05-26,945
2020-05-27,1055
2020-05-28,1156
2020-05-29,1326
2020-05-30,1425
2020-05-31,1505
2020-06-01,1625
2020-06-02,1675
2020-06-03,1755
2020-06-04,1795
2020-06-05,2005
2020-06-06,2034
2020-06-07,2073
2020-06-08,2150
2020-06-09,2258
2020-06-10,2463
2020-06-11,2558
2020-06-12,2658
2020-06-13,2743
2020-06-14,2795
2020-06-15,2862
2020-06-16,2925
2020-06-17,3010
2020-06-18,3080
2020-06-19,3203
2020-06-20,3293
2020-06-21,3398
2020-06-22,3475
