Período	Lagoa	 Ctotal Burial (g m2 yr)	Corg  Burial (g m2 yr)	 Cinog Burial (g m2 yr)	Ntotal (g m-2 yr-1) 	PT (g m-2 yr-1)	PI  (g m-2 yr-1) 	PO  (g m-2 yr-1) 
<1950	LRF	723.7363	82.22552	641.5108	8.563	0.447843	0.149281	0.298562
<1950	LRF	674.5553	97.01836	582.4368	8.493	0.440993	0.146998	0.293995
<1950	LRF	625.7169	88.22668	538.9958	7.769	0.397472	0.132491	0.264981
<1950	LRF	702.3931	89.38413	613.009	9.177	0.39226	0.142302	0.249958
<1950	LRF	700.7835	94.92552	600.8619	8.46	0.419671	0.13989	0.27978
<1950	LRF	661.421	95.37598	566.045	9.94	0.412307	0.137436	0.274871
<1950	LRF	765.5119	99.55249	653.3806	8.985	0.431274	0.143758	0.287516
<1950	LRF	727.5117	92.67881	619.5561	8.419	0.404905	0.132398	0.272507
<1950	LRF	697.4977	91.30456	606.1932	9.376	0.389447	0.129816	0.259631
<1950	LRF	745.6083	91.09553	632.1686	8.388	0.38157	0.12719	0.25438
<1950	LRF	763.0058	91.26697	645.5127	8.462	0.377656	0.125885	0.251771
<1950	LRF	789.7621	102.0832	687.6789	10.238	0.365432	0.121811	0.243621
<1950	LRF	773.1699	88.59239	651.3116	8.334	0.357171	0.119057	0.238114
<1950	LRF	732.4525	96.8734	635.5791	9.591	0.348781	0.11626	0.232521
<1950	LRF	694.3905	76.15294	582.4923	7.273	0.298395	0.099465	0.19893
<1950	LRF	801.2316	85.93539	670.7239	8.273	0.497655	0.110539	0.387116
<1950	LRF	725.5792	85.90637	639.6728	8.588	0.322844	0.107615	0.215229
<1950	LRF	820.2172	84.07858	683.815	8.227	0.313941	0.104647	0.209294
<1950	LRF	843.7824	84.52588	702.0446	8.342	0.310051	0.10335	0.206701
<1950	LRF	988.485	95.11714	893.3678	9.106	0.563084	0.098584	0.4645
<1950	LRF	849.1123	81.16515	703.6761	8.153	0.286465	0.095488	0.190977
