"BAIRRO","2020-02-04","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-12","2020-03-13","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-25","NA"
"ATALAIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"BADU"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 5"," 6"," 6"," 6"," 7"," 7"," 7"," 7"," 7"," 8"," 9"," 9"," 9","10","11","12","12","12","12","16","16","16","18","18","19","20","20","23","23","25","29","29","30","33","33","33","34","35","40","40","42","42","42","42","43","43","43","43","43","43"
"BALDEADOR"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 2"," 2"," 3"," 3"," 4"," 4"," 4"," 4"," 5"," 5"," 5"," 5"," 6"," 6"," 7"," 7"," 8"," 8"," 8"," 9"," 9"," 9","10","10","10","10","10","10","10","10"
"BARRETO","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  3","  3","  3","  3","  3","  3","  3","  3","  3","  4","  4","  6","  7","  7","  7","  8","  9","  9"," 12"," 13"," 13"," 14"," 16"," 16"," 18"," 19"," 19"," 20"," 21"," 22"," 23"," 28"," 29"," 31"," 33"," 35"," 36"," 37"," 41"," 42"," 47"," 50"," 50"," 50"," 52"," 55"," 63"," 71"," 75"," 77"," 77"," 77"," 79"," 88"," 95","101","104","105","105","106","106","106","106","106","106","108"
"BOA VIAGEM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"CAFUBA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 4"," 5"," 5"," 5"," 5"," 5"," 5","11","11","11","11","11","11","11","11","11","11","11","11","11"
"CAMBOINHAS"," 0"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 3"," 4"," 5"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 6"," 7"," 7"," 7"," 8","10","10","11","11","12","13","13","13","13","13","13","13","13","13","13","13","13","13","14","15","15","15","15","16","18","19","19","19","19","19","19","19","19","19","19","19","19","20"
"CANTAGALO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 7"," 8"," 8"," 8"," 8"," 8"," 9","18","21","24","24","24","24","24","24","24","24","24","24"
"CARAMUJO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 3"," 5"," 5"," 5"," 5"," 5"," 5"," 7"," 7"," 8"," 8"," 8"," 8","10","10","10","10","10","11","11","11","14","15","19","22","22","22","22","25","29","38","39","40","40","40","42","42","42","43","44","44","45","45","45","45","45","45","45","45"
"CENTRO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 3"," 3"," 3"," 5"," 5"," 5"," 6"," 6"," 6"," 9","11","11","12","12","14","16","18","24","25","25","25","30","30","32","33","40","41","41","42","44","47","48","48","48","48","49","53","57","61","67","68","68","72","77","80","82","85","85","85","86","86","87","87","87","87","90"
