NOME,2020.04.02,04.04.2020,08.04.2020,14.04.2020,15.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,24.04.2020,25.05.2020,26.04.2020,27.04.2020,29.04.2020,01.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,11.05.2020,29.05.2020,30.05.2020,31.05.2020,01.06.2020,02.06.2020,04.06.2020,05.06.2020,06.06.2020,07.06.2020,08.06.2020,09.06.2020,10.06.2020,13.06.2020,14.06.2020,15.06.2020,16.06.2020,17.06.2020,18.06.2020,19.06.2020,20.06.2020,21.06.2020,22.06.2020,23.06.2020,24.06.2020,25.06.2020,26.06.2020,29.06.2020,30.06.2020,01.07.2020,02.07.2020,03.07.2020,04.07.2020,05.07.2020,06.07.2020,07.07.2020,08.07.2020,09.07.2020,10.07.2020,11.07.2020
BADU,1,1,1,1,1,0,2,2,3,3,3,3,3,3,3,3,5,5,9,10,10,23,56,64,74,88,88,104,112,114,114,114,114,115,125,126,126,126,129,129,129,136,139,140,146,146,149,149,154,154,154,154,155,161,162,167,174,177,182,185,188
BALDEADOR,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,3,4,15,18,21,21,25,25,25,25,25,25,25,27,29,29,29,32,32,32,33,33,35,35,35,35,35,39,41,42,45,45,45,45,46,46,47,49,49,52,53
BARRETO,3,6,7,10,11,11,11,12,16,16,16,16,16,16,16,17,23,34,41,44,46,58,143,158,189,189,219,219,235,240,244,247,246,254,286,305,306,306,308,308,314,318,326,334,335,337,357,363,393,395,400,411,412,414,417,427,427,427,452,467,469
BOA VIAGEM,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,7,8
CACHOEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CAFUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,15,16,17,17,18,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,27,30,31,31,31,32,32,32,33,34,34,34,35
CAMBOINHAS,1,4,4,5,5,6,6,6,7,7,7,8,8,8,7,7,7,8,12,13,12,12,22,23,28,28,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,32,32,32,33,33,33,33,33,34,34,34,39,39,39,39,41
CARAMUJO,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,5,6,14,14,15,18,67,73,74,74,85,95,96,96,96,96,96,96,100,100,100,100,100,101,103,108,108,108,113,117,117,117,119,119,121,121,127,133,133,133,142,158,158,162,170
CENTRO,2,2,2,7,7,8,8,8,12,13,13,14,15,15,14,16,24,29,30,30,38,46,107,119,125,125,136,173,173,173,181,182,181,187,194,197,198,198,201,201,201,202,202,203,214,214,214,219,220,232,249,264,274,275,278,298,302,302,320,330,341
CHARITAS,3,4,4,4,4,4,4,4,5,5,5,5,5,5,7,8,9,10,11,11,14,16,54,58,58,58,63,69,70,72,72,72,75,75,82,82,82,82,82,93,94,94,94,96,97,100,100,104,111,113,115,121,125,126,129,129,137,138,138,141,142
