SEASON	SITE	MANG	CO2 fluNA(mmolm-2h-1)	CH4 fluNA(mmolm-2h-1)	CO2 Production(mmolm-2h-1)	CH4 Production(µgC-CH4.Kg-1 sed úmido.d-1)
S	B	M1	4.16	NA	0.00	67.86
S	B	M1	10.15	NA	2.18	69.50
S	B	M1	3.89	NA	0.47	93.34
S	B	M1	3.27	NA	1.19	47.30
S	B	M1	2.65	0.003	1.31	NA
S	B	M1	4.59	NA	1.63	NA
S	B	M1	5.20	0.002	1.52	NA
S	F	M1	7.82	0.023	1.48	28.17
S	F	M1	6.85	0.021	1.88	22.37
S	F	M1	9.20	0.021	1.11	30.44
S	F	M1	10.41	NA	1.90	54.97
S	F	M1	2.23	0.001	0.77	NA
S	F	M1	6.25	0.013	2.25	NA
S	F	M1	4.75	0.023	3.15	NA
W	B	M1	6.31	0.000	3.56	27.65
W	B	M1	4.12	0.002	2.89	23.86
W	B	M1	4.29	0.001	1.77	21.71
W	B	M1	8.55	0.002	1.96	37.37
W	B	M1	7.08	0.000	2.93	NA
W	B	M1	5.52	0.046	2.37	NA
W	F	M1	3.92	0.009	2.88	22.93
W	F	M1	15.89	0.021	3.43	23.30
W	F	M1	6.63	0.013	1.20	24.33
W	F	M1	5.68	0.009	2.96	22.64
W	F	M1	5.16	0.020	2.82	NA
S	B	M2	15.91	0.007	1.77	24.477
S	B	M2	18.29	0.00	2.02	301.32
S	B	M2	22.91	NA	2.96	234.19
S	B	M2	20.76	0.008	1.88	26.181
S	B	M2	24.20	NA	0.72	NA
S	B	M2	24.62	0.005	0.00	NA
S	B	M2	16.42	NA	0.35	NA
S	F	M2	4.14	NA	2.57	1985.60
S	F	M2	28.67	0.002	0.32	4.53
S	F	M2	27.78	NA	1.62	1.28
S	F	M2	25.71	0.113	1.65	5.02
S	F	M2	7.57	0.015	2.02	NA
S	F	M2	4.70	NA	2.27	NA
S	F	M2	6.48	0.064	0.51	NA
W	B	M2	5.76	0.000	0.18	34.786
W	B	M2	9.72	0.007	1.24	27.059
W	B	M2	4.20	NA	0.68	10.079
W	B	M2	8.40	0.003	0.00	23.867
W	B	M2	7.10	0.008	2.18	NA
W	B	M2	12.18	0.004	0.00	NA
W	B	M2	13.25	NA	1.44	NA
W	F	M2	4.14	0.001	3.05	1627.10
W	F	M2	26.03	0.001	2.85	1869.60
W	F	M2	6.25	0.001	2.52	4.17
W	F	M2	14.45	0.002	0.93	22.27
W	F	M2	6.73	0.007	1.01	NA
W	F	M2	5.17	0.001	3.27	NA
W	F	M2	6.63	0.010	3.08	NA
S	B	M3	10.78	0.011	0.10	101.2
S	B	M3	6.70	0.010	2.07	58.48
S	B	M3	6.83	0.004	1.14	264.33
S	B	M3	12.33	0.004	1.59	161.19
S	B	M3	9.92	0.008	3.39	NA
S	B	M3	15.03	NA	1.01	NA
S	B	M3	17.59	0.077	5.34	NA
S	F	M3	24.95	0.008	1.37	45.09
S	F	M3	20.79	0.024	1.90	192.62
S	F	M3	25.81	NA	2.19	35.06
S	F	M3	25.27	0.016	3.10	73.76
S	F	M3	43.40	0.017	0.73	NA
S	F	M3	42.07	0.025	1.53	NA
S	F	M3	47.72	0.058	2.88	NA
W	B	M3	8.66	0.011	1.09	120.93
W	B	M3	19.64	0.010	1.35	20.91
W	B	M3	23.24	0.004	1.30	89.09
W	B	M3	33.92	0.004	1.12	29.599
W	B	M3	28.63	0.008	0.63	NA
W	B	M3	28.26	NA	0.60	NA
W	F	M3	21.96	0.077	1.99	NA
W	F	M3	14.21	0.008	1.44	464.41
W	F	M3	11.97	0.024	1.47	77.93
W	F	M3	13.52	NA	2.11	43.11
W	F	M3	14.92	0.016	1.77	35.04
W	F	M3	34.21	0.017	1.79	NA
W	F	M3	106.80	0.025	1.47	NA
W	F	M3	96.66	0.058	1.26	NA
