SEASON	SITE	MANG	CO2 fluNA(mmolm-2h-1)	CH4 fluNA(mmolm-2h-1)	CO2 Production(mmolm-2h-1)	CH4 Production(µgC-CH4.Kg-1 sed úmido.d-1)
W	U	M1	6.31	0.001	3.56	27.65
W	U	M1	4.12	0.002	2.89	23.86
W	U	M1	4.29	0.002	1.77	21.71
W	U	M1	8.55	0.001	1.96	37.37
W	U	M1	7.08	0.002	2.93	NA
W	U	M1	5.52	0.001	2.37	NA
W	U	M1	NA	0.001	NA	NA
S	U	M1	4.16	0.003	2.18	67.86
S	U	M1	10.15	0.002	0.47	69.5
S	U	M1	3.89	0.003	1.19	93.34
S	U	M1	3.27	0.002	1.31	47.3
S	U	M1	2.65	0.0025	1.63	NA
S	U	M1	4.59	0.0025	1.52	NA
S	U	M1	5.2	NA	NA	NA
W	L	M1	3.92	0.046	2.88	22.93
W	L	M1	15.89	0.009	3.43	23.3
W	L	M1	6.63	0.021	1.2	24.33
W	L	M1	5.68	0.013	2.96	22.64
W	L	M1	NA	0.009	2.82	NA
W	L	M1	NA	0.02	NA	NA
W	L	M1	5.16	0.01	NA	NA
S	L	M1	7.82	0.023	1.48	28.17
S	L	M1	6.85	0.021	1.88	22.37
S	L	M1	9.2	0.021	1.11	30.44
S	L	M1	10.41	0.001	1.9	54.97
S	L	M1	2.23	0.013	0.77	NA
S	L	M1	6.25	0.023	2.25	NA
S	L	M1	4.75	NA	3.15	NA
W	U	M2	5.76	0	0.18	34.786
W	U	M2	9.72	0.007	1.24	27.059
W	U	M2	4.2	0.006	0.68	10.079
W	U	M2	8.4	0.003	0	23.867
W	U	M2	7.1	0.008	2.18	NA
W	U	M2	12.18	0.004	0	NA
W	U	M2	13.25	0.004	1.44	NA
S	U	M2	15.91	0.007	1.77	24.477
S	U	M2	18.29	0.004	2.02	301.32
S	U	M2	22.91	0.002	2.96	234.19
S	U	M2	20.76	0.008	1.88	26.181
S	U	M2	24.2	0.002	0.72	NA
S	U	M2	NA	0.005	0.35	NA
S	U	M2	24.62	0.001	NA	NA
S	U	M2	16.42	0.187	NA	NA
W	L	M2	4.14	0.001	3.05	1627.1
W	L	M2	26.03	0.001	2.85	1869.6
W	L	M2	6.25	0.001	2.52	4.17
W	L	M2	14.45	0.002	0.93	22.27
W	L	M2	6.73	0.007	1.01	NA
W	L	M2	5.17	0.001	3.27	NA
W	L	M2	6.63	0.01	3.08	NA
S	L	M2	4.14	0.002	2.57	1985.6
S	L	M2	28.67	0.01	0.32	4.53
S	L	M2	27.78	0.113	1.62	1.28
S	L	M2	25.71	0.015	1.65	5.02
S	L	M2	7.57	0.064	2.02	NA
S	L	M2	4.7	NA	2.27	NA
S	L	M2	6.48	NA	0.51	NA
W	U	M3	8.66	0.014	1.09	120.93
W	U	M3	19.64	0.001	1.35	20.91
W	U	M3	23.24	0.002	1.3	89.09
W	U	M3	33.92	0.001	1.12	29.599
W	U	M3	28.63	0.004	0.63	NA
W	U	M3	28.26	0.002	0.6	NA
W	U	M3	21.96	0.004	1.99	NA
S	U	M3	10.78	0.011	0.1	101.2
S	U	M3	6.7	0.01	2.07	58.48
S	U	M3	6.83	0.004	1.14	264.33
S	U	M3	12.33	0.004	1.59	161.19
S	U	M3	9.92	0.008	3.39	NA
S	U	M3	15.03	0.077	1.01	NA
S	U	M3	17.59	NA	5.34	NA
W	L	M3	14.21	0.002	1.44	464.41
W	L	M3	11.97	0.005	1.47	77.93
W	L	M3	13.52	0.004	2.11	43.11
W	L	M3	14.92	0.001	1.77	35.04
W	L	M3	34.21	0.001	1.79	NA
W	L	M3	106.8	0.011	1.47	NA
W	L	M3	96.66	0.002	1.26	NA
S	L	M3	24.95	0.008	1.37	45.09
S	L	M3	20.79	0.024	1.9	192.62
S	L	M3	25.81	0.002	2.19	35.06
S	L	M3	25.27	0.016	3.1	73.76
S	L	M3	43.4	0.017	0.73	NA
S	L	M3	42.07	0.025	1.53	NA
S	L	M3	47.72	0.058	2.88	NA
